name,latitude,longitude,free_bikes,empty_slots,total_bikes
36 Ave & 31 St,40.75651272984955,-73.92957486212252,18,5,23
Leonard St & Nassau Ave,40.7239567849954,-73.94984364509583,13,19,32
Myrtle Ave & St Edwards St,40.69327018,-73.97703874,49,4,53
Willoughby Ave & Hall St,40.69196035,-73.96536851,22,23,45
Perry St & Bleecker St,40.73535398,-74.00483091,66,8,74
DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,18,4,22
E 72 St & York Ave,40.76663814,-73.95348296,9,25,34
W 67 St & Broadway,40.77492513,-73.98266566,25,3,28
Harrison St & Hudson St,40.71870987,-74.0090009,8,30,38
Laight St & Hudson St,40.72185379,-74.00771779,23,60,83
E 106 St & 1 Ave,40.7892529,-73.93956237,20,3,23
Richards St & Delavan St,40.6794327,-74.00785041,18,1,19
Commerce St & Van Brunt St,40.6812117,-74.00860912,15,3,18
Henry St & W 9 St,40.6763744,-74.00324957,17,1,18
Columbia St & W 9 St,40.6769993,-74.00647134,18,2,20
Court St & Nelson St,40.6763947,-73.99869893,26,6,32
Clinton St & 4 Place,40.6783563,-74.00014502,14,11,25
7 St & 3 Ave,40.67260298150126,-73.98983001708984,13,7,20
Smith St & 9 St,40.6746957,-73.99785768,8,12,20
W 43 St & 10 Ave,40.76009437,-73.99461843,29,65,94
12 Ave & W 40 St,40.76087502,-74.00277668,34,34,68
11 Ave & W 27 St,40.751396,-74.005226,24,15,39
21 St & 31 Dr,40.7659,-73.930819,11,9,20
Carroll St & Franklin Ave,40.6679411,-73.9588,9,9,18
Sullivan Pl & Bedford Ave,40.6642406,-73.9574686,12,6,18
35 St & Broadway,40.760339,-73.9222427,11,7,18
W 22 St & 8 Ave,40.74475148,-73.99915362,5,57,62
E 51 St & 1 Ave,40.75455731,-73.96592976,29,3,32
E 25 St & 1 Ave,40.7381765,-73.97738662,17,14,31
Park Pl & Church St,40.71334184275907,-74.00935515761375,7,47,54
N 11 St & Kent Ave,40.72248188638219,-73.95921930670738,14,11,25
Jackson Square,40.71113,-74.0789,11,7,18
W 64 St & Thelonious Monk Circle,40.77515953434235,-73.98918695747852,30,10,40
Union Ave & Jackson St,40.7160751,-73.952029,15,3,18
Roebling St & N 4 St,40.71469,-73.95739,19,5,24
Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,26,2,28
Graham Ave & Grand St,40.711863,-73.944024,5,23,28
S 4 St & Rodney St,40.70934,-73.95608,1,20,21
Hope St & Union Ave,40.71167351,-73.95141312,23,1,24
Riverview Park,40.7443187,-74.0439909,13,0,13
