name,latitude,longitude,address,review_count,rating,categories,distance,url
Momofuku Noodle Bar - Uptown,40.7667405590595,-73.9790689945221,"10 Columbus Cir, Third Floor, New York, NY 10019",592,4.0,American (New),354.738285943076,https://www.yelp.com/biz/momofuku-noodle-bar-uptown-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Tuscany Steakhouse,40.7667405590595,-73.9790689945221,"117 W 58th St, New York, NY 10019",235,4.5,Steakhouses,203.6612689315387,https://www.yelp.com/biz/tuscany-steakhouse-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Marea,40.7667405590595,-73.9790689945221,"240 Central Park S, New York, NY 10019",2351,4.0,Italian,171.00030170640713,https://www.yelp.com/biz/marea-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Quality Meats,40.7667405590595,-73.9790689945221,"57 W 58th St, New York, NY 10019",2289,4.0,Steakhouses,312.1272099635525,https://www.yelp.com/biz/quality-meats-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Ocean Prime,40.7667405590595,-73.9790689945221,"123 W 52nd St, New York, NY 10019",803,4.5,Seafood,569.5618853716389,https://www.yelp.com/biz/ocean-prime-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Jean-Georges,40.7667405590595,-73.9790689945221,"1 Central Park W, New York, NY 10023",2004,4.0,French,330.23056733714867,https://www.yelp.com/biz/jean-georges-new-york-2?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Souvlaki GR Midtown ,40.7667405590595,-73.9790689945221,"162 W 56th St, New York, NY 10019",798,4.0,Greek,258.7077308638067,https://www.yelp.com/biz/souvlaki-gr-midtown-new-york-3?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Per Se,40.7667405590595,-73.9790689945221,"10 Columbus Cir, Fl 4, New York, NY 10019",1872,4.5,French,348.4804066203745,https://www.yelp.com/biz/per-se-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
The Modern,40.7667405590595,-73.9790689945221,"9 W 53rd St, New York, NY 10019",1167,4.5,American (New),657.2978313097562,https://www.yelp.com/biz/the-modern-new-york-3?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Blue Willow 夜来湘,40.7667405590595,-73.9790689945221,"40 W 56th St, New York, NY 10019",956,4.5,Szechuan,472.435708096146,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
